Source     RA            DEC           Sp.type   Mv      SiC        PAH1_1     PAH1       ARIII      SIV_1      SIV        PAH2_1     SIV_2      PAH2       PAH2_2     NEII_1     NEII       NEII_2     Q0         QH2        Q1         Q2         Q3         Q4         Q7         Q8         Error
HD115478   13 17 15.606 +13 40 32.27   K3III     6.664   3.702035   6.621400   6.151118   5.774261   5.054123   4.692085   4.435840   4.155341   4.039755   3.493093   3.290131   3.141676   3.033784   1.890742   1.770118   1.660290   1.482643   1.361691   1.247095   0.979582   0.869732   .1757E+01
HD119193   13 42 54.692 -50 47 24.85   M0III     8.124   4.647301   7.817646   7.362128   6.836554   6.041499   5.671370   5.461817   5.167902   5.036681   4.407400   4.164597   3.984722   3.851335   2.408403   2.255495   2.116747   1.891580   1.737724   1.592075   1.251623   1.111672   .1800E+01
HD123123   14 06 22.300 -26 40 56.52   K2-III    4.383  17.105806  31.603928  29.429689  27.151791  23.054306  21.299719  20.374140  19.272772  18.716211  16.128637  15.202572  14.512581  14.009330   8.662706   8.118249   7.670189   6.968870   6.429201   5.831784   4.584802   4.069273   .1585E+01
HD124294   14 12 53.752 -10 16 25.44   K2.5III   5.537  12.494118  22.346487  20.758753  19.486349  17.055285  15.835930  14.970723  14.024447  13.634068  11.788935  11.104471  10.601620  10.239474   6.380482   5.973432   5.603781   5.004368   4.595971   4.209078   3.305781   2.935394   .1534E+01
HD126927   14 28 41.720 -06 54 01.81   K5III     6.939   5.749709   9.950756   9.418416   8.823525   7.537861   7.088737   6.820628   6.475557   6.287378   5.419709   5.110703   4.880841   4.708021   2.902949   2.712906   2.547226   2.285415   2.117800   1.955351   1.541135   1.365764   .1769E+01
HD130157   14 47 13.653 -21 19 29.50   K5III     7.741   4.670461   8.113753   7.582603   7.052536   6.029055   5.685991   5.484369   5.228478   5.082891   4.419575   4.185630   4.006611   3.868258   2.390423   2.234550   2.098955   1.884392   1.746210   1.613160   1.271948   1.127347   .1795E+01
HD133550   15 06 13.965 -36 15 52.42   K5-III    7.983   4.544245   7.894800   7.377372   6.861678   5.865075   5.533062   5.336335   5.087678   4.945834   4.300012   4.072454   3.898110   3.763522   2.325686   2.174345   2.042044   1.833380   1.698869   1.569302   1.237471   1.096972   .1820E+01
HD133774   15 06 37.610 -16 15 24.67   K5III     6.808   8.729524  15.107976  14.300887  13.397177  11.446405  10.761955  10.355000   9.831132   9.546043   8.228987   7.758897   7.410252   7.147594   4.407293   4.118597   3.867362   3.469958   3.215193   2.968890   2.340028   2.074335   .1594E+01
HD136028   15 18 26.154 -00 27 40.58   K5III     7.421   3.774263   6.531632   6.182875   5.792191   4.948470   4.652896   4.476916   4.250389   4.127246   3.557754   3.354824   3.203991   3.090479   1.905652   1.780698   1.672322   1.500116   1.389955   1.283580   1.011688   0.896570   .1956E+01
HD137744   15 28 15.411 -16 42 59.43   K4.5III   7.213   5.343094   9.247780   8.753316   8.200101   7.006268   6.587207   6.338144   6.017688   5.842730   5.036180   4.749316   4.535747   4.375221   2.697863   2.520954   2.367224   2.123771   1.968124   1.817095   1.432222   1.269270   .1797E+01
HD139663   15 40 16.903 -23 49 05.13   K3-III    6.307   4.835632   8.648267   8.034850   7.540876   6.602068   6.129872   5.794530   5.428733   5.276754   4.562706   4.297500   4.103509   3.962939   2.469422   2.311811   2.168824   1.936935   1.778570   1.628825   1.279506   1.136088   .1550E+01
HD145892   16 13 15.441 +05 01 15.76   K5III     6.969   4.962176   8.588450   8.129186   7.615759   6.506111   6.117884   5.886349   5.588448   5.426120   4.677589   4.410796   4.212494   4.063238   2.505017   2.341271   2.198519   1.972715   1.827780   1.687811   1.330117   1.178806   .1650E+01
HD145897   16 13 50.904 -11 50 16.02   K3III     6.654   4.966525   8.909384   8.194478   7.648677   6.698065   6.234263   5.904425   5.548169   5.399337   4.700669   4.442758   4.249543   4.106753   2.563884   2.400695   2.252797   2.012447   1.848704   1.693344   1.330643   1.181623   .1739E+01
HD149009   16 31 13.465 +22 11 43.41   K5III     7.426   5.989592  10.394754   9.749924   9.085810   7.765810   7.318779   7.054475   6.716669   6.527133   5.660960   5.354591   5.122810   4.944617   3.053704   2.854413   2.680593   2.406243   2.230194   2.058862   1.624144   1.439318   .1666E+01
HD156277   17 21 59.449 -67 46 14.18   K2-III     5.99   5.171053   9.553997   8.896729   8.208032   6.969124   6.439007   6.159129   5.826117   5.657829   4.875953   4.595387   4.387457   4.234999   2.618672   2.454212   2.318778   2.106759   1.943570   1.762872   1.385918   1.230124   .1576E+01
HD161096   17 43 28.358 +04 34 02.26   K2III     3.967  26.054321  48.135941  44.822803  41.353527  35.120193  32.441265  31.031666  29.356609  28.508490  24.566381  23.153416  22.107023  21.337368  13.196575  12.366363  11.683746  10.614315   9.792764   8.882450   6.982997   6.198110   .1556E+01
HD163376   17 57 47.848 -41 42 58.79   M0III     6.578  18.099468  30.431061  28.709576  26.685108  23.579292  22.126085  21.300943  20.145067  19.629665  17.154444  16.199575  15.494516  14.974448   9.360815   8.766641   8.226990   7.350977   6.753158   6.186735   4.863234   4.319368   .1585E+01
HD169916   18 27 58.246 -25 25 18.15   K1IIIb    3.888  21.836851  40.346130  37.572411  34.666687  29.430670  27.188143  26.007723  24.604465  23.893967  20.589499  19.405998  18.527985  17.885098  11.056744  10.364369   9.792052   8.896196   8.207271   7.444767   5.852720   5.194685   .1688E+01
HD173780   18 46 04.481 +26 39 43.62   K2III     6.036   4.607654   8.513383   7.927415   7.313918   6.210138   5.737288   5.488228   5.191337   5.041052   4.344508   4.094751   3.909567   3.773556   2.333331   2.186741   2.066071   1.876956   1.731685   1.570784   1.234907   1.096094   .1642E+01
HD174387   18 52 27.255 -46 35 42.25   M0III     7.167   8.888266  14.935414  14.115729  13.135334  11.606158  10.885074  10.475886   9.901578   9.646347   8.419409   7.945455   7.597659   7.343293   4.588250   4.296682   4.031928   3.602542   3.309179   3.031472   2.382901   2.116248   .1802E+01
HD177716   19 06 56.415 -27 40 13.57   K1.5IIIb   4.51  18.771360  34.683468  32.298164  29.793213  25.298805  23.373522  22.357611  21.149920  20.539042  17.699558  16.682434  15.927925  15.374084   9.505929   8.909146   8.417109   7.647491   7.055583   6.399535   5.030892   4.465301   .1658E+01
HD178345   19 10 01.801 -39 20 26.81   K0II      5.315   7.830547  15.458136  14.324814  13.112244  10.630948   9.809540   9.371943   8.819057   8.548061   7.378964   6.897165   6.672314   6.463775   4.016784   3.759717   3.526318   3.147898   2.889960   2.646019   2.077647   1.843759   .1580E+01
HD187150   19 48 50.251 -12 19 09.55   K5III     8.214   4.011048   6.964540   6.520703   6.070175   5.189351   4.892493   4.717242   4.492946   4.367826   3.793564   3.590606   3.435812   3.316689   2.049285   1.915801   1.798877   1.614852   1.496680   1.381846   1.089925   0.966114   .1825E+01
HD187660   19 51 11.110 -02 27 39.57   K5III      7.72   3.602255   6.234509   5.900751   5.528557   4.723591   4.441106   4.273099   4.056917   3.939188   3.395550   3.201835   3.057935   2.949569   1.818454   1.699903   1.596050   1.431828   1.326931   1.224996   0.965541   0.855757   .1709E+01
HD188114   19 55 15.691 -41 52 06.05   K0II-III  5.204   7.233573  14.278651  13.232401  12.113302   9.820026   9.061353   8.657647   8.146501   7.895738   6.815048   6.371659   6.164440   5.972824   3.710360   3.472959   3.257391   2.907859   2.669870   2.444030   1.918572   1.703200   .1583E+01
HD188603   19 56 56.810 -27 10 11.61   K2.5IIb   6.026   9.962668  17.890375  16.396723  15.273000  13.376363  12.459485  11.809778  11.113109  10.817061   9.439228   8.930165   8.548033   8.263317   5.161951   4.834459   4.536851   4.053194   3.723568   3.411088   2.680727   2.380703   .1851E+01
HD189695   20 00 58.992 +08 33 27.90   K5III     7.474   4.346833   7.522913   7.120453   6.670165   5.699626   5.358887   5.156382   4.895401   4.753548   4.097322   3.863528   3.689886   3.559114   2.194561   2.050946   1.925532   1.727815   1.600691   1.478027   1.165067   1.032475   .1868E+01
